temp,vbatt,gx,gy,gz
25.29,6.3,-61,61,32
25.37,6.3,-44,69,30
25.38,6.3,-21,51,45
25.35,6.3,-31,62,28
25.67,6.3,-992,-810,770
24.92,6.3,-15,66,39
24.62,6.3,-33,54,33
-59213.71,-189.75,-23131,-23131,-23131
-59213.71,-189.75,-23131,-23131,-23131
-59213.71,-189.75,-23131,-23131,-23131
-59213.71,-189.75,-23131,-23131,-23131
-59213.71,-189.75,-23131,-23131,-23131
5153.28,0.0,0,0,0
0.0,0.0,0,0,0
0.0,0.0,0,0,0
