temp,vbatt,gx,gy,gz
24.36,6.3,13,69,-38
24.4,6.3,5,72,-48
24.52,6.3,0,74,-46
24.44,6.3,3,55,-40
24.48,6.3,2,69,-36
24.54,6.3,1,69,-40
24.68,6.3,0,69,-47
24.62,6.3,-49,91,-41
24.33,6.3,5,71,-40
24.38,6.3,-5,67,-46
24.25,6.3,-10,69,-38
24.23,6.3,2,65,-46
24.35,6.3,-10,76,-39
23.72,6.3,5,71,-39
24.53,6.3,0,66,-42
