temp,vbatt,gx,gy,gz
25.35,6.3,-56,71,26
25.26,6.3,-22,66,36
25.24,6.3,-16,55,40
25.23,6.3,-24,58,43
25.11,6.3,-28,60,33
25.41,6.3,-35,57,30
25.51,6.3,-47,50,30
25.63,6.3,-36,62,35
25.64,6.3,18,66,30
25.75,6.3,-34,73,32
25.43,6.3,-44,56,37
25.04,6.3,11,48,-15
24.96,6.3,-34,66,50
24.95,6.3,-17,64,11
25.4,6.3,-29,54,53
