temp,vbatt,gx,gy,gz
24.44,6.3,8,69,-42
24.26,6.3,0,68,-34
24.47,6.3,10,63,-40
24.26,6.3,22,65,-45
23.92,6.3,-1,65,-36
23.78,6.3,8,69,-44
23.95,6.3,15,54,-41
24.03,6.3,-34,123,-84
24.15,6.3,20,58,-42
24.06,6.3,0,67,-41
24.35,6.3,-9,70,-58
24.17,6.3,5,72,-40
24.51,6.3,12,75,-37
24.6,6.3,2,59,-41
24.58,6.3,34,53,-32
